[2026-04-20 18:23:58,113] INFO in llm: System Prompt: You are an interviewer conducting an interview that will be evaluated scientifically. Your tone should be friendly but neutral. Refer back to the user's answers, but do not comment positively or negatively on them. You are guiding a student through an interview to assess their study skills. Start the conversation with a friendly greeting. Ask the student which subject the degree they are studying is about.
[2026-04-20 18:23:58,113] INFO in llm: User Prompt: None
[2026-04-20 18:23:58,133] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:23:58,156] INFO in llm: Ollama raw response: {'error': "model 'llama3.1:latest' not found"}
[2026-04-20 18:23:58,156] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:23:58,162] INFO in llm: Ollama raw response: {'error': "model 'llama3.1:latest' not found"}
[2026-04-20 18:23:58,163] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:23:58,167] INFO in llm: Ollama raw response: {'error': "model 'llama3.1:latest' not found"}
[2026-04-20 18:23:58,167] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:23:58,173] INFO in llm: Ollama raw response: {'error': "model 'llama3.1:latest' not found"}
[2026-04-20 18:23:58,173] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:23:58,179] INFO in llm: Ollama raw response: {'error': "model 'llama3.1:latest' not found"}
[2026-04-20 18:23:58,180] INFO in llm: Send request to Ollama via HTTP
[2026-04-20 18:23:58,187] INFO in llm: Ollama raw response: {'error': "model 'llama3.1:latest' not found"}
[2026-04-20 18:23:58,188] INFO in llm: @llm: response::: 
[2026-04-20 18:23:58,189] INFO in llm: <app.llm.MockResponse object at 0x11e6739e0>
[2026-04-20 18:23:58,189] INFO in llm: Empty response
[2026-04-20 18:23:58,189] ERROR in routes: Error on start conversation: Received empty response from LLM. - Rolling back DB changes
[2026-04-20 18:23:58,192] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:23:58] "[35m[1mPOST /startConversation HTTP/1.1[0m" 500 -
[2026-04-20 18:24:08,033] INFO in routes: Stored 4 mouse traces for user demo_student/discord
[2026-04-20 18:24:08,036] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:24:08] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:24:18,008] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:24:18,009] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:24:18] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:24:28,052] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:24:28,054] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:24:28] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:24:37,998] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:24:37,999] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:24:37] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:24:48,072] INFO in routes: Tab event: tab_hidden for user demo_student/discord
[2026-04-20 18:24:48,074] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:24:48] "POST /log/tab_event HTTP/1.1" 200 -
[2026-04-20 18:24:48,624] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:24:48,625] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:24:48] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:25:01,908] INFO in routes: Stored 4 mouse traces for user demo_student/discord
[2026-04-20 18:25:01,909] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:25:01] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:25:12,047] INFO in routes: Stored 4 mouse traces for user demo_student/discord
[2026-04-20 18:25:12,049] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:25:12] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:25:22,274] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:25:22,277] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:25:22] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:25:32,562] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:25:32,563] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:25:32] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:25:42,845] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:25:42,848] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:25:42] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:25:54,015] INFO in routes: Stored 5 mouse traces for user demo_student/discord
[2026-04-20 18:25:54,017] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:25:54] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:26:04,118] INFO in routes: Stored 4 mouse traces for user demo_student/discord
[2026-04-20 18:26:04,119] INFO in _internal: 127.0.0.1 - - [20/Apr/2026 18:26:04] "POST /log/mouse_traces HTTP/1.1" 200 -
[2026-04-20 18:26:14,187] WARNING in __init__: <class 'app.config.Config'>
